SCHEMA LOG — AB_NYC_2019.csv
============================================================
Rows    : 48,895
Columns : 16

Column                                   dtype          non-null  Description
----------------------------------------------------------------------------------------------------
id                                       int64            48,895  Unique listing identifier — not a feature
name                                     object           48,879  Free-text listing title — not used in baseline modelling
host_id                                  int64            48,895  Unique host identifier — not a feature
host_name                                object           48,874  Host first name — not used in baseline modelling
neighbourhood_group                      object           48,895  Borough (Manhattan, Brooklyn, Queens, Bronx, Staten Island) — categorical feature
neighbourhood                            object           48,895  Sub-neighbourhood — high-cardinality categorical feature
latitude                                 float64          48,895  Listing latitude — numeric feature
longitude                                float64          48,895  Listing longitude — numeric feature
room_type                                object           48,895  Type of space (Entire home/apt, Private room, Shared room) — categorical feature
price                                    int64            48,895  *** TARGET *** Nightly price in USD
minimum_nights                           int64            48,895  Minimum booking length in nights — numeric feature, known extremes
number_of_reviews                        int64            48,895  Total review count — numeric feature
last_review                              object           38,843  Date of most recent review — missing when no reviews exist
reviews_per_month                        float64          38,843  Avg reviews per month — missing when no reviews exist
calculated_host_listings_count           int64            48,895  Number of listings by same host — numeric feature
availability_365                         int64            48,895  Days available in next 365 — numeric feature
