NYC Airbnb 2019 - Schema Log
Rows: 48895
Columns: 16

column,dtype,non_null_count,unique_count,description
id,int64,48895,48895,Listing identifier (unique)
name,object,48879,47905,Listing title text
host_id,int64,48895,37457,Host identifier
host_name,object,48874,11452,Host display name
neighbourhood_group,object,48895,5,NYC borough
neighbourhood,object,48895,221,Local neighborhood
latitude,float64,48895,19048,Listing latitude
longitude,float64,48895,14718,Listing longitude
room_type,object,48895,3,Type of room/listing
price,int64,48895,674,Nightly listing price (target)
minimum_nights,int64,48895,109,Minimum nights required
number_of_reviews,int64,48895,394,Total review count
last_review,object,38843,1764,Date of most recent review
reviews_per_month,float64,38843,937,Average reviews per month
calculated_host_listings_count,int64,48895,47,Host listing count
availability_365,int64,48895,366,Days available in a year
